"Plot Title: SalmonShedLight/TempLogger_ChaseCorner"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20454914, SEN S/N: 20454914)","Intensity, lum/ft² (LGR S/N: 20454914, SEN S/N: 20454914)","Coupler Attached (LGR S/N: 20454914)","Stopped (LGR S/N: 20454914)","End Of File (LGR S/N: 20454914)"
1,11/19/18 09:48:55 AM,7.582,6.0,,,
2,11/19/18 09:58:55 AM,7.481,7.0,,,
3,11/19/18 10:08:55 AM,7.481,7.0,,,
4,11/19/18 10:18:55 AM,7.582,7.0,,,
5,11/19/18 10:28:55 AM,7.782,6.0,,,
6,11/19/18 10:38:55 AM,8.082,6.0,,,
7,11/19/18 10:48:55 AM,8.382,7.0,,,
8,11/19/18 10:58:55 AM,8.581,7.0,,,
9,11/19/18 11:08:55 AM,8.978,7.0,,,
10,11/19/18 11:18:55 AM,9.275,6.0,,,
11,11/19/18 11:28:55 AM,9.373,7.0,,,
12,11/19/18 11:38:55 AM,9.571,6.0,,,
13,11/19/18 11:48:55 AM,9.669,6.0,,,
14,11/19/18 11:58:55 AM,9.866,6.0,,,
15,11/19/18 12:08:55 PM,9.965,7.0,,,
16,11/19/18 12:18:55 PM,9.965,7.0,,,
17,11/19/18 12:28:55 PM,10.063,7.0,,,
18,11/19/18 12:38:55 PM,10.259,7.0,,,
19,11/19/18 12:48:55 PM,10.553,7.0,,,
20,11/19/18 12:58:55 PM,10.553,7.0,,,
21,11/19/18 01:08:55 PM,10.553,7.0,,,
22,11/19/18 01:18:55 PM,10.455,7.0,,,
23,11/19/18 01:28:55 PM,10.553,7.0,,,
24,11/19/18 01:38:55 PM,10.748,8.0,,,
25,11/19/18 01:48:55 PM,10.748,8.0,,,
26,11/19/18 01:58:55 PM,10.944,8.0,,,
27,11/19/18 02:08:55 PM,11.041,7.0,,,
28,11/19/18 02:18:55 PM,11.139,7.0,,,
29,11/19/18 02:28:55 PM,11.139,6.0,,,
30,11/19/18 02:38:55 PM,11.236,7.0,,,
31,11/19/18 02:48:55 PM,11.139,7.0,,,
32,11/19/18 02:58:55 PM,11.139,7.0,,,
33,11/19/18 03:08:55 PM,11.041,7.0,,,
34,11/19/18 03:18:55 PM,11.041,7.0,,,
35,11/19/18 03:28:55 PM,10.944,7.0,,,
36,11/19/18 03:38:55 PM,10.748,6.0,,,
37,11/19/18 03:48:55 PM,10.553,7.0,,,
38,11/19/18 03:58:55 PM,10.259,7.0,,,
39,11/19/18 04:08:55 PM,10.063,6.0,,,
40,11/19/18 04:18:55 PM,9.965,7.0,,,
41,11/19/18 04:28:55 PM,9.768,7.0,,,
42,11/19/18 04:38:55 PM,9.669,6.0,,,
43,11/19/18 04:48:55 PM,9.571,6.0,,,
44,11/19/18 04:58:55 PM,9.472,6.0,,,
45,11/19/18 05:08:55 PM,9.275,6.0,,,
46,11/19/18 05:18:55 PM,9.176,6.0,,,
47,11/19/18 05:28:55 PM,8.978,3.0,,,
48,11/19/18 05:38:55 PM,8.779,3.0,,,
49,11/19/18 05:48:55 PM,8.581,3.0,,,
50,11/19/18 05:58:55 PM,8.481,3.0,,,
51,11/19/18 06:08:55 PM,8.382,3.0,,,
52,11/19/18 06:18:55 PM,8.282,3.0,,,
53,11/19/18 06:28:55 PM,8.182,3.0,,,
54,11/19/18 06:38:55 PM,8.082,3.0,,,
55,11/19/18 06:48:55 PM,7.983,3.0,,,
56,11/19/18 06:58:55 PM,7.983,3.0,,,
57,11/19/18 07:08:55 PM,7.882,3.0,,,
58,11/19/18 07:18:55 PM,7.782,3.0,,,
59,11/19/18 07:28:55 PM,7.782,3.0,,,
60,11/19/18 07:38:55 PM,7.682,3.0,,,
61,11/19/18 07:48:55 PM,7.582,3.0,,,
62,11/19/18 07:58:55 PM,7.582,3.0,,,
63,11/19/18 08:08:55 PM,7.582,0.0,,,
64,11/19/18 08:18:55 PM,7.481,0.0,,,
65,11/19/18 08:28:55 PM,7.481,0.0,,,
66,11/19/18 08:38:55 PM,7.381,0.0,,,
67,11/19/18 08:48:55 PM,7.381,0.0,,,
68,11/19/18 08:58:55 PM,7.280,0.0,,,
69,11/19/18 09:08:55 PM,7.280,0.0,,,
70,11/19/18 09:18:55 PM,7.280,0.0,,,
71,11/19/18 09:28:55 PM,7.179,0.0,,,
72,11/19/18 09:38:55 PM,7.280,0.0,,,
73,11/19/18 09:48:55 PM,7.280,0.0,,,
74,11/19/18 09:58:55 PM,7.179,0.0,,,
75,11/19/18 10:08:55 PM,7.179,0.0,,,
76,11/19/18 10:18:55 PM,7.079,0.0,,,
77,11/19/18 10:28:55 PM,7.079,0.0,,,
78,11/19/18 10:38:55 PM,7.079,0.0,,,
79,11/19/18 10:48:55 PM,7.079,0.0,,,
80,11/19/18 10:58:55 PM,7.179,0.0,,,
81,11/19/18 11:08:55 PM,7.179,0.0,,,
82,11/19/18 11:18:55 PM,7.079,0.0,,,
83,11/19/18 11:28:55 PM,7.079,0.0,,,
84,11/19/18 11:38:55 PM,6.978,0.0,,,
85,11/19/18 11:48:55 PM,6.877,0.0,,,
86,11/19/18 11:58:55 PM,6.877,0.0,,,
87,11/20/18 12:08:55 AM,6.877,0.0,,,
88,11/20/18 12:18:55 AM,6.877,0.0,,,
89,11/20/18 12:28:55 AM,6.775,0.0,,,
90,11/20/18 12:38:55 AM,6.775,0.0,,,
91,11/20/18 12:48:55 AM,6.674,0.0,,,
92,11/20/18 12:58:55 AM,6.674,0.0,,,
93,11/20/18 01:08:55 AM,6.674,0.0,,,
94,11/20/18 01:18:55 AM,6.775,0.0,,,
95,11/20/18 01:28:55 AM,6.775,0.0,,,
96,11/20/18 01:38:55 AM,6.674,0.0,,,
97,11/20/18 01:48:55 AM,6.573,0.0,,,
98,11/20/18 01:58:55 AM,6.674,0.0,,,
