"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
1,03/04/19 09:25:49 AM,11.59,8.62,,,
2,03/04/19 09:35:49 AM,11.72,8.36,,,
3,03/04/19 09:45:49 AM,11.74,8.32,,,
4,03/04/19 09:55:49 AM,11.73,8.32,,,
5,03/04/19 10:05:49 AM,11.74,8.32,,,
6,03/04/19 10:15:49 AM,11.74,8.32,,,
7,03/04/19 10:25:49 AM,11.75,8.34,,,
8,03/04/19 10:35:49 AM,11.75,8.34,,,
9,03/04/19 10:45:49 AM,11.75,8.36,,,
10,03/04/19 10:55:49 AM,11.75,8.38,,,
11,03/04/19 11:05:49 AM,11.74,8.40,,,
12,03/04/19 11:15:49 AM,11.74,8.42,,,
13,03/04/19 11:25:49 AM,11.73,8.44,,,
14,03/04/19 11:35:49 AM,11.73,8.44,,,
15,03/04/19 11:45:49 AM,11.72,8.46,,,
16,03/04/19 11:55:49 AM,11.72,8.48,,,
17,03/04/19 12:05:49 PM,11.72,8.48,,,
18,03/04/19 12:15:49 PM,11.72,8.50,,,
19,03/04/19 12:25:49 PM,11.71,8.50,,,
20,03/04/19 12:35:49 PM,11.71,8.50,,,
21,03/04/19 12:45:49 PM,11.72,8.52,,,
22,03/04/19 12:55:49 PM,11.71,8.52,,,
23,03/04/19 01:05:49 PM,11.70,8.52,,,
24,03/04/19 01:15:49 PM,11.71,8.54,,,
25,03/04/19 01:25:49 PM,11.71,8.54,,,
26,03/04/19 01:35:49 PM,11.71,8.56,,,
27,03/04/19 01:45:49 PM,11.70,8.56,,,
28,03/04/19 01:55:49 PM,11.70,8.56,,,
29,03/04/19 02:05:49 PM,11.68,8.58,,,
30,03/04/19 02:15:49 PM,11.70,8.58,,,
31,03/04/19 02:25:49 PM,11.68,8.60,,,
32,03/04/19 02:35:49 PM,11.68,8.60,,,
33,03/04/19 02:45:49 PM,11.68,8.60,,,
34,03/04/19 02:55:49 PM,11.68,8.60,,,
35,03/04/19 03:05:49 PM,11.68,8.60,,,
36,03/04/19 03:15:49 PM,11.68,8.60,,,
37,03/04/19 03:25:49 PM,11.70,8.60,,,
38,03/04/19 03:35:49 PM,11.67,8.60,,,
39,03/04/19 03:45:49 PM,11.67,8.60,,,
40,03/04/19 03:55:49 PM,11.68,8.60,,,
41,03/04/19 04:05:49 PM,11.67,8.60,,,
42,03/04/19 04:15:49 PM,11.68,8.60,,,
43,03/04/19 04:25:49 PM,11.67,8.60,,,
44,03/04/19 04:35:49 PM,11.67,8.58,,,
45,03/04/19 04:45:49 PM,11.67,8.58,,,
46,03/04/19 04:55:49 PM,11.67,8.58,,,
47,03/04/19 05:05:49 PM,11.66,8.58,,,
48,03/04/19 05:15:49 PM,11.67,8.58,,,
49,03/04/19 05:25:49 PM,11.68,8.58,,,
50,03/04/19 05:35:49 PM,11.67,8.56,,,
51,03/04/19 05:45:49 PM,11.67,8.56,,,
52,03/04/19 05:55:49 PM,11.68,8.54,,,
53,03/04/19 06:05:49 PM,11.67,8.54,,,
54,03/04/19 06:15:49 PM,11.68,8.52,,,
55,03/04/19 06:25:49 PM,11.68,8.50,,,
56,03/04/19 06:35:49 PM,11.70,8.50,,,
57,03/04/19 06:45:49 PM,11.68,8.48,,,
58,03/04/19 06:55:49 PM,11.68,8.46,,,
59,03/04/19 07:05:49 PM,11.70,8.44,,,
60,03/04/19 07:15:49 PM,11.70,8.44,,,
61,03/04/19 07:25:49 PM,11.71,8.42,,,
62,03/04/19 07:35:49 PM,11.70,8.40,,,
63,03/04/19 07:45:49 PM,11.71,8.40,,,
64,03/04/19 07:55:49 PM,11.72,8.38,,,
65,03/04/19 08:05:49 PM,11.70,8.38,,,
66,03/04/19 08:15:49 PM,11.72,8.38,,,
67,03/04/19 08:25:49 PM,11.72,8.36,,,
68,03/04/19 08:35:49 PM,11.72,8.36,,,
69,03/04/19 08:45:49 PM,11.71,8.36,,,
70,03/04/19 08:55:49 PM,11.72,8.34,,,
71,03/04/19 09:05:49 PM,11.72,8.34,,,
72,03/04/19 09:15:49 PM,11.72,8.32,,,
73,03/04/19 09:25:49 PM,11.72,8.30,,,
74,03/04/19 09:35:49 PM,11.73,8.30,,,
75,03/04/19 09:45:49 PM,11.74,8.30,,,
76,03/04/19 09:55:49 PM,11.74,8.30,,,
77,03/04/19 10:05:49 PM,11.73,8.32,,,
78,03/04/19 10:15:49 PM,11.73,8.34,,,
79,03/04/19 10:25:49 PM,11.73,8.36,,,
80,03/04/19 10:35:49 PM,11.72,8.36,,,
81,03/04/19 10:45:49 PM,11.72,8.38,,,
82,03/04/19 10:55:49 PM,11.70,8.38,,,
83,03/04/19 11:05:49 PM,11.70,8.40,,,
84,03/04/19 11:15:49 PM,11.70,8.40,,,
85,03/04/19 11:25:49 PM,11.71,8.40,,,
86,03/04/19 11:35:49 PM,11.70,8.38,,,
87,03/04/19 11:45:49 PM,11.70,8.40,,,
88,03/04/19 11:55:49 PM,11.70,8.40,,,
89,03/05/19 12:05:49 AM,11.68,8.40,,,
90,03/05/19 12:15:49 AM,11.68,8.40,,,
91,03/05/19 12:25:49 AM,11.68,8.40,,,
92,03/05/19 12:35:49 AM,11.68,8.40,,,
93,03/05/19 12:45:49 AM,11.67,8.40,,,
94,03/05/19 12:55:49 AM,11.66,8.40,,,
95,03/05/19 01:05:49 AM,11.66,8.40,,,
96,03/05/19 01:15:49 AM,11.66,8.40,,,
97,03/05/19 01:25:49 AM,11.66,8.40,,,
98,03/05/19 01:35:49 AM,11.67,8.40,,,
99,03/05/19 01:45:49 AM,11.66,8.38,,,
100,03/05/19 01:55:49 AM,11.65,8.38,,,
101,03/05/19 02:05:49 AM,11.66,8.38,,,
102,03/05/19 02:15:49 AM,11.67,8.38,,,
103,03/05/19 02:25:49 AM,11.68,8.36,,,
104,03/05/19 02:35:49 AM,11.68,8.36,,,
105,03/05/19 02:45:49 AM,11.67,8.34,,,
106,03/05/19 02:55:49 AM,11.67,8.34,,,
107,03/05/19 03:05:49 AM,11.70,8.32,,,
108,03/05/19 03:15:49 AM,11.68,8.30,,,
109,03/05/19 03:25:49 AM,11.70,8.30,,,
110,03/05/19 03:35:49 AM,11.68,8.28,,,
111,03/05/19 03:45:49 AM,11.68,8.28,,,
112,03/05/19 03:55:49 AM,11.67,8.28,,,
113,03/05/19 04:05:49 AM,11.68,8.28,,,
114,03/05/19 04:15:49 AM,11.67,8.28,,,
115,03/05/19 04:25:49 AM,11.66,8.28,,,
116,03/05/19 04:35:49 AM,11.67,8.26,,,
117,03/05/19 04:45:49 AM,11.66,8.26,,,
118,03/05/19 04:55:49 AM,11.66,8.26,,,
119,03/05/19 05:05:49 AM,11.66,8.26,,,
120,03/05/19 05:15:49 AM,11.66,8.26,,,
121,03/05/19 05:25:49 AM,11.65,8.26,,,
122,03/05/19 05:35:49 AM,11.65,8.26,,,
123,03/05/19 05:45:49 AM,11.65,8.26,,,
124,03/05/19 05:55:49 AM,11.64,8.26,,,
125,03/05/19 06:05:49 AM,11.64,8.26,,,
126,03/05/19 06:15:49 AM,11.64,8.26,,,
127,03/05/19 06:25:49 AM,11.64,8.26,,,
128,03/05/19 06:35:49 AM,11.64,8.26,,,
129,03/05/19 06:45:49 AM,11.65,8.26,,,
130,03/05/19 06:55:49 AM,11.64,8.24,,,
131,03/05/19 07:05:49 AM,11.64,8.24,,,
132,03/05/19 07:15:49 AM,11.64,8.24,,,
133,03/05/19 07:25:49 AM,11.64,8.22,,,
134,03/05/19 07:35:49 AM,11.65,8.22,,,
135,03/05/19 07:45:49 AM,11.64,8.22,,,
136,03/05/19 07:55:49 AM,11.64,8.20,,,
137,03/05/19 08:05:49 AM,11.65,8.20,,,
138,03/05/19 08:15:49 AM,11.67,8.20,,,
139,03/05/19 08:25:49 AM,11.67,8.18,,,
140,03/05/19 08:35:49 AM,11.68,8.18,,,
141,03/05/19 08:45:49 AM,11.67,8.18,,,
142,03/05/19 08:55:49 AM,11.68,8.18,,,
143,03/05/19 09:05:49 AM,11.67,8.20,,,
144,03/05/19 09:15:49 AM,11.67,8.20,,,
145,03/05/19 09:25:49 AM,11.67,8.22,,,
146,03/05/19 09:35:49 AM,11.67,8.24,,,
147,03/05/19 09:45:49 AM,11.67,8.24,,,
148,03/05/19 09:55:49 AM,11.67,8.26,,,
149,03/05/19 10:05:49 AM,11.66,8.28,,,
150,03/05/19 10:15:49 AM,11.67,8.28,,,
151,03/05/19 10:25:49 AM,11.66,8.28,,,
152,03/05/19 10:35:49 AM,11.67,8.30,,,
153,03/05/19 10:45:49 AM,11.67,8.30,,,
154,03/05/19 10:55:49 AM,11.70,8.30,,,
155,03/05/19 11:05:49 AM,11.71,8.32,,,
156,03/05/19 11:15:49 AM,11.72,8.32,,,
157,03/05/19 11:25:49 AM,11.70,8.32,,,
158,03/05/19 11:35:49 AM,11.71,8.34,,,
159,03/05/19 11:45:49 AM,11.70,8.36,,,
160,03/05/19 11:55:49 AM,11.67,8.36,,,
161,03/05/19 12:05:49 PM,11.68,8.38,,,
162,03/05/19 12:15:49 PM,11.67,8.40,,,
163,03/05/19 12:25:49 PM,11.66,8.42,,,
164,03/05/19 12:35:49 PM,11.66,8.44,,,
165,03/05/19 12:45:49 PM,11.65,8.46,,,
166,03/05/19 12:55:49 PM,11.64,8.46,,,
167,03/05/19 01:05:49 PM,11.63,8.48,,,
168,03/05/19 01:15:49 PM,11.64,8.52,,,
169,03/05/19 01:25:49 PM,11.62,8.54,,,
170,03/05/19 01:35:49 PM,11.61,8.56,,,
171,03/05/19 01:45:49 PM,11.61,8.58,,,
172,03/05/19 01:55:49 PM,11.60,8.60,,,
173,03/05/19 02:05:49 PM,11.60,8.62,,,
174,03/05/19 02:15:49 PM,11.59,8.64,,,
175,03/05/19 02:25:49 PM,11.57,8.64,,,
176,03/05/19 02:35:49 PM,11.58,8.66,,,
177,03/05/19 02:45:49 PM,11.57,8.66,,,
178,03/05/19 02:55:49 PM,11.57,8.66,,,
179,03/05/19 03:05:49 PM,11.56,8.66,,,
180,03/05/19 03:15:49 PM,11.57,8.66,,,
181,03/05/19 03:25:49 PM,11.56,8.68,,,
182,03/05/19 03:35:49 PM,11.56,8.68,,,
183,03/05/19 03:45:49 PM,11.56,8.68,,,
184,03/05/19 03:55:49 PM,11.56,8.68,,,
185,03/05/19 04:05:49 PM,11.55,8.68,,,
186,03/05/19 04:15:49 PM,11.56,8.68,,,
187,03/05/19 04:25:49 PM,11.55,8.68,,,
188,03/05/19 04:35:49 PM,11.54,8.66,,,
189,03/05/19 04:45:49 PM,11.55,8.66,,,
190,03/05/19 04:55:49 PM,11.55,8.66,,,
191,03/05/19 05:05:49 PM,11.55,8.64,,,
192,03/05/19 05:15:49 PM,11.55,8.64,,,
193,03/05/19 05:25:49 PM,11.55,8.62,,,
194,03/05/19 05:35:49 PM,11.54,8.62,,,
195,03/05/19 05:45:49 PM,11.54,8.62,,,
196,03/05/19 05:55:49 PM,11.54,8.62,,,
197,03/05/19 06:05:49 PM,11.55,8.62,,,
198,03/05/19 06:15:49 PM,11.54,8.60,,,
199,03/05/19 06:25:49 PM,11.54,8.60,,,
200,03/05/19 06:35:49 PM,11.54,8.60,,,
201,03/05/19 06:45:49 PM,11.54,8.58,,,
202,03/05/19 06:55:49 PM,11.55,8.56,,,
203,03/05/19 07:05:49 PM,11.54,8.56,,,
204,03/05/19 07:15:49 PM,11.54,8.54,,,
205,03/05/19 07:25:49 PM,11.54,8.52,,,
206,03/05/19 07:35:49 PM,11.55,8.52,,,
207,03/05/19 07:45:49 PM,11.55,8.50,,,
208,03/05/19 07:55:49 PM,11.55,8.50,,,
209,03/05/19 08:05:49 PM,11.55,8.48,,,
210,03/05/19 08:15:49 PM,11.56,8.48,,,
211,03/05/19 08:25:49 PM,11.56,8.46,,,
212,03/05/19 08:35:49 PM,11.56,8.46,,,
213,03/05/19 08:45:49 PM,11.56,8.44,,,
214,03/05/19 08:55:49 PM,11.56,8.42,,,
215,03/05/19 09:05:49 PM,11.57,8.40,,,
216,03/05/19 09:15:49 PM,11.57,8.38,,,
217,03/05/19 09:25:49 PM,11.57,8.38,,,
218,03/05/19 09:35:49 PM,11.58,8.36,,,
219,03/05/19 09:45:49 PM,11.58,8.34,,,
220,03/05/19 09:55:49 PM,11.58,8.34,,,
221,03/05/19 10:05:49 PM,11.59,8.32,,,
222,03/05/19 10:15:49 PM,11.59,8.32,,,
223,03/05/19 10:25:49 PM,11.58,8.32,,,
224,03/05/19 10:35:49 PM,11.59,8.32,,,
225,03/05/19 10:45:49 PM,11.58,8.34,,,
226,03/05/19 10:55:49 PM,11.57,8.36,,,
227,03/05/19 11:05:49 PM,11.58,8.38,,,
228,03/05/19 11:15:49 PM,11.57,8.40,,,
229,03/05/19 11:25:49 PM,11.56,8.42,,,
230,03/05/19 11:35:49 PM,11.56,8.42,,,
231,03/05/19 11:45:49 PM,11.56,8.42,,,
232,03/05/19 11:55:49 PM,11.55,8.44,,,
233,03/06/19 12:05:49 AM,11.55,8.44,,,
234,03/06/19 12:15:49 AM,11.55,8.44,,,
235,03/06/19 12:25:49 AM,11.54,8.44,,,
236,03/06/19 12:35:49 AM,11.54,8.46,,,
237,03/06/19 12:45:49 AM,11.53,8.46,,,
238,03/06/19 12:55:49 AM,11.53,8.46,,,
239,03/06/19 01:05:49 AM,11.52,8.46,,,
240,03/06/19 01:15:49 AM,11.53,8.46,,,
241,03/06/19 01:25:49 AM,11.53,8.46,,,
242,03/06/19 01:35:49 AM,11.52,8.46,,,
243,03/06/19 01:45:49 AM,11.52,8.46,,,
244,03/06/19 01:55:49 AM,11.52,8.44,,,
245,03/06/19 02:05:49 AM,11.52,8.44,,,
246,03/06/19 02:15:49 AM,11.52,8.42,,,
247,03/06/19 02:25:49 AM,11.53,8.42,,,
248,03/06/19 02:35:49 AM,11.52,8.40,,,
249,03/06/19 02:45:49 AM,11.52,8.38,,,
250,03/06/19 02:55:49 AM,11.53,8.38,,,
251,03/06/19 03:05:49 AM,11.53,8.36,,,
252,03/06/19 03:15:49 AM,11.53,8.36,,,
253,03/06/19 03:25:49 AM,11.53,8.34,,,
254,03/06/19 03:35:49 AM,11.53,8.34,,,
255,03/06/19 03:45:49 AM,11.54,8.34,,,
256,03/06/19 03:55:49 AM,11.53,8.34,,,
257,03/06/19 04:05:49 AM,11.53,8.34,,,
258,03/06/19 04:15:49 AM,11.53,8.32,,,
259,03/06/19 04:25:49 AM,11.52,8.32,,,
260,03/06/19 04:35:49 AM,11.53,8.32,,,
261,03/06/19 04:45:49 AM,11.52,8.32,,,
262,03/06/19 04:55:49 AM,11.52,8.32,,,
263,03/06/19 05:05:49 AM,11.51,8.32,,,
264,03/06/19 05:15:49 AM,11.51,8.32,,,
265,03/06/19 05:25:49 AM,11.51,8.32,,,
266,03/06/19 05:35:49 AM,11.51,8.32,,,
267,03/06/19 05:45:49 AM,11.51,8.34,,,
268,03/06/19 05:55:49 AM,11.50,8.34,,,
269,03/06/19 06:05:49 AM,11.50,8.34,,,
270,03/06/19 06:15:49 AM,11.49,8.34,,,
271,03/06/19 06:25:49 AM,11.49,8.34,,,
272,03/06/19 06:35:49 AM,11.50,8.36,,,
273,03/06/19 06:45:49 AM,11.50,8.36,,,
274,03/06/19 06:55:49 AM,11.49,8.36,,,
275,03/06/19 07:05:49 AM,11.50,8.36,,,
276,03/06/19 07:15:49 AM,11.49,8.36,,,
277,03/06/19 07:25:49 AM,11.49,8.36,,,
278,03/06/19 07:35:49 AM,11.49,8.36,,,
279,03/06/19 07:45:49 AM,11.49,8.34,,,
280,03/06/19 07:55:49 AM,11.49,8.34,,,
281,03/06/19 08:05:49 AM,11.50,8.34,,,
282,03/06/19 08:15:49 AM,11.50,8.34,,,
283,03/06/19 08:25:49 AM,11.49,8.34,,,
284,03/06/19 08:35:49 AM,11.49,8.34,,,
285,03/06/19 08:45:49 AM,11.50,8.34,,,
286,03/06/19 08:55:49 AM,11.50,8.34,,,
287,03/06/19 09:05:49 AM,11.50,8.34,,,
288,03/06/19 09:15:49 AM,11.49,8.34,,,
289,03/06/19 09:25:49 AM,11.50,8.34,,,
290,03/06/19 09:35:49 AM,11.50,8.36,,,
291,03/06/19 09:45:49 AM,11.50,8.36,,,
292,03/06/19 09:55:49 AM,11.50,8.36,,,
293,03/06/19 10:05:49 AM,11.52,8.36,,,
294,03/06/19 10:15:49 AM,11.52,8.36,,,
295,03/06/19 10:25:49 AM,11.52,8.36,,,
296,03/06/19 10:35:49 AM,11.53,8.36,,,
297,03/06/19 10:45:49 AM,11.52,8.36,,,
298,03/06/19 10:55:49 AM,11.52,8.36,,,
299,03/06/19 11:05:49 AM,11.52,8.36,,,
300,03/06/19 11:15:49 AM,11.52,8.36,,,
301,03/06/19 11:25:49 AM,11.52,8.36,,,
302,03/06/19 11:35:49 AM,11.52,8.36,,,
303,03/06/19 11:45:49 AM,11.52,8.36,,,
304,03/06/19 11:55:49 AM,11.52,8.36,,,
305,03/06/19 12:05:49 PM,11.52,8.36,,,
306,03/06/19 12:15:49 PM,11.52,8.36,,,
307,03/06/19 12:25:49 PM,11.52,8.36,,,
308,03/06/19 12:35:49 PM,11.52,8.36,,,
309,03/06/19 12:45:49 PM,11.52,8.36,,,
310,03/06/19 12:55:49 PM,11.52,8.36,,,
311,03/06/19 01:05:49 PM,11.53,8.36,,,
312,03/06/19 01:15:49 PM,11.51,8.36,,,
313,03/06/19 01:25:49 PM,11.51,8.36,,,
314,03/06/19 01:35:49 PM,11.52,8.34,,,
315,03/06/19 01:45:49 PM,11.52,8.34,,,
316,03/06/19 01:55:49 PM,11.53,8.34,,,
317,03/06/19 02:05:49 PM,11.52,8.34,,,
318,03/06/19 02:15:49 PM,11.52,8.32,,,
319,03/06/19 02:25:49 PM,11.53,8.32,,,
320,03/06/19 02:35:49 PM,11.52,8.32,,,
321,03/06/19 02:45:49 PM,11.52,8.32,,,
322,03/06/19 02:55:49 PM,11.52,8.30,,,
323,03/06/19 03:05:49 PM,11.52,8.30,,,
324,03/06/19 03:15:49 PM,11.52,8.32,,,
325,03/06/19 03:25:49 PM,11.52,8.32,,,
326,03/06/19 03:35:49 PM,11.52,8.32,,,
327,03/06/19 03:45:49 PM,11.51,8.32,,,
328,03/06/19 03:55:49 PM,11.51,8.32,,,
329,03/06/19 04:05:49 PM,11.51,8.32,,,
330,03/06/19 04:15:49 PM,11.52,8.34,,,
331,03/06/19 04:25:49 PM,11.51,8.34,,,
332,03/06/19 04:35:49 PM,11.51,8.34,,,
333,03/06/19 04:45:49 PM,11.52,8.34,,,
334,03/06/19 04:55:49 PM,11.52,8.34,,,
335,03/06/19 05:05:49 PM,11.51,8.36,,,
336,03/06/19 05:15:49 PM,11.52,8.36,,,
337,03/06/19 05:25:49 PM,11.51,8.36,,,
338,03/06/19 05:35:49 PM,11.52,8.36,,,
339,03/06/19 05:45:49 PM,11.51,8.36,,,
340,03/06/19 05:55:49 PM,11.51,8.36,,,
341,03/06/19 06:05:49 PM,11.50,8.36,,,
342,03/06/19 06:15:49 PM,11.49,8.38,,,
343,03/06/19 06:25:49 PM,11.49,8.38,,,
344,03/06/19 06:35:49 PM,11.50,8.38,,,
345,03/06/19 06:45:49 PM,11.49,8.38,,,
346,03/06/19 06:55:49 PM,11.49,8.38,,,
347,03/06/19 07:05:49 PM,11.49,8.38,,,
348,03/06/19 07:15:49 PM,11.49,8.38,,,
349,03/06/19 07:25:49 PM,11.50,8.38,,,
350,03/06/19 07:35:49 PM,11.50,8.38,,,
351,03/06/19 07:45:49 PM,11.50,8.36,,,
352,03/06/19 07:55:49 PM,11.50,8.36,,,
353,03/06/19 08:05:49 PM,11.51,8.34,,,
354,03/06/19 08:15:49 PM,11.51,8.34,,,
355,03/06/19 08:25:49 PM,11.51,8.34,,,
356,03/06/19 08:35:49 PM,11.52,8.34,,,
357,03/06/19 08:45:49 PM,11.52,8.34,,,
358,03/06/19 08:55:49 PM,11.51,8.34,,,
359,03/06/19 09:05:49 PM,11.51,8.34,,,
360,03/06/19 09:15:49 PM,11.52,8.34,,,
361,03/06/19 09:25:49 PM,11.51,8.34,,,
362,03/06/19 09:35:49 PM,11.51,8.36,,,
363,03/06/19 09:45:49 PM,11.52,8.36,,,
364,03/06/19 09:55:49 PM,11.51,8.36,,,
365,03/06/19 10:05:49 PM,11.52,8.36,,,
366,03/06/19 10:15:49 PM,11.52,8.36,,,
367,03/06/19 10:25:49 PM,11.53,8.36,,,
368,03/06/19 10:35:49 PM,11.53,8.36,,,
369,03/06/19 10:45:49 PM,11.53,8.36,,,
370,03/06/19 10:55:49 PM,11.53,8.36,,,
371,03/06/19 11:05:49 PM,11.52,8.34,,,
372,03/06/19 11:15:49 PM,11.53,8.34,,,
373,03/06/19 11:25:49 PM,11.54,8.34,,,
374,03/06/19 11:35:49 PM,11.54,8.34,,,
375,03/06/19 11:45:49 PM,11.53,8.34,,,
376,03/06/19 11:55:49 PM,11.54,8.34,,,
377,03/07/19 12:05:49 AM,11.54,8.34,,,
378,03/07/19 12:15:49 AM,11.53,8.34,,,
379,03/07/19 12:25:49 AM,11.53,8.34,,,
380,03/07/19 12:35:49 AM,11.54,8.34,,,
381,03/07/19 12:45:49 AM,11.54,8.34,,,
382,03/07/19 12:55:49 AM,11.54,8.34,,,
383,03/07/19 01:05:49 AM,11.53,8.36,,,
384,03/07/19 01:15:49 AM,11.54,8.36,,,
385,03/07/19 01:25:49 AM,11.55,8.36,,,
386,03/07/19 01:35:49 AM,11.54,8.38,,,
387,03/07/19 01:45:49 AM,11.54,8.38,,,
388,03/07/19 01:55:49 AM,11.54,8.40,,,
389,03/07/19 02:05:49 AM,11.53,8.40,,,
390,03/07/19 02:15:49 AM,11.54,8.40,,,
391,03/07/19 02:25:49 AM,11.54,8.40,,,
392,03/07/19 02:35:49 AM,11.53,8.40,,,
393,03/07/19 02:45:49 AM,11.54,8.42,,,
394,03/07/19 02:55:49 AM,11.54,8.42,,,
395,03/07/19 03:05:49 AM,11.54,8.42,,,
396,03/07/19 03:15:49 AM,11.54,8.44,,,
397,03/07/19 03:25:49 AM,11.54,8.44,,,
398,03/07/19 03:35:49 AM,11.54,8.44,,,
399,03/07/19 03:45:49 AM,11.54,8.44,,,
400,03/07/19 03:55:49 AM,11.54,8.44,,,
401,03/07/19 04:05:49 AM,11.54,8.42,,,
402,03/07/19 04:15:49 AM,11.55,8.42,,,
403,03/07/19 04:25:49 AM,11.55,8.42,,,
404,03/07/19 04:35:49 AM,11.54,8.42,,,
405,03/07/19 04:45:49 AM,11.55,8.42,,,
406,03/07/19 04:55:49 AM,11.54,8.42,,,
407,03/07/19 05:05:49 AM,11.55,8.40,,,
408,03/07/19 05:15:49 AM,11.55,8.40,,,
409,03/07/19 05:25:49 AM,11.55,8.40,,,
410,03/07/19 05:35:49 AM,11.55,8.40,,,
411,03/07/19 05:45:49 AM,11.55,8.38,,,
412,03/07/19 05:55:49 AM,11.55,8.38,,,
413,03/07/19 06:05:49 AM,11.55,8.38,,,
414,03/07/19 06:15:49 AM,11.56,8.36,,,
415,03/07/19 06:25:49 AM,11.56,8.36,,,
416,03/07/19 06:35:49 AM,11.57,8.36,,,
417,03/07/19 06:45:49 AM,11.57,8.36,,,
418,03/07/19 06:55:49 AM,11.57,8.36,,,
419,03/07/19 07:05:49 AM,11.56,8.36,,,
420,03/07/19 07:15:49 AM,11.56,8.36,,,
421,03/07/19 07:25:49 AM,11.57,8.34,,,
422,03/07/19 07:35:49 AM,11.57,8.34,,,
423,03/07/19 07:45:49 AM,11.57,8.34,,,
424,03/07/19 07:55:49 AM,11.56,8.32,,,
425,03/07/19 08:05:49 AM,11.57,8.32,,,
426,03/07/19 08:15:49 AM,11.57,8.32,,,
427,03/07/19 08:25:49 AM,11.58,8.30,,,
428,03/07/19 08:35:49 AM,11.57,8.30,,,
429,03/07/19 08:45:49 AM,11.58,8.30,,,
430,03/07/19 08:55:49 AM,11.59,8.30,,,
431,03/07/19 09:05:49 AM,11.58,8.30,,,
432,03/07/19 09:15:49 AM,11.59,8.30,,,
433,03/07/19 09:25:49 AM,11.60,8.30,,,
434,03/07/19 09:35:49 AM,11.60,8.30,,,
435,03/07/19 09:45:49 AM,11.61,8.28,,,
436,03/07/19 09:55:49 AM,11.62,8.30,,,
437,03/07/19 10:05:49 AM,11.62,8.28,,,
438,03/07/19 10:15:49 AM,11.62,8.28,,,
439,03/07/19 10:25:49 AM,11.62,8.28,,,
440,03/07/19 10:35:49 AM,11.60,8.28,,,
441,03/07/19 10:45:49 AM,11.56,8.28,,,
442,03/07/19 10:55:49 AM,11.53,8.28,,,
443,03/07/19 11:05:49 AM,11.52,8.28,,,
444,03/07/19 11:15:49 AM,11.51,8.28,,,
445,03/07/19 11:25:49 AM,11.50,8.28,,,
446,03/07/19 11:35:49 AM,11.49,8.28,,,
447,03/07/19 11:45:49 AM,11.49,8.28,,,
448,03/07/19 11:55:49 AM,11.50,8.28,,,
449,03/07/19 12:05:49 PM,11.50,8.30,,,
450,03/07/19 12:15:49 PM,11.52,8.32,,,
451,03/07/19 12:25:49 PM,11.53,8.34,,,
452,03/07/19 12:35:49 PM,11.55,8.36,,,
453,03/07/19 12:45:49 PM,11.56,8.40,,,
454,03/07/19 12:55:49 PM,11.56,8.42,,,
455,03/07/19 01:05:49 PM,11.57,8.44,,,
456,03/07/19 01:15:49 PM,11.57,8.46,,,
457,03/07/19 01:25:49 PM,11.57,8.48,,,
458,03/07/19 01:35:49 PM,11.56,8.50,,,
459,03/07/19 01:45:49 PM,11.56,8.52,,,
460,03/07/19 01:55:49 PM,11.56,8.54,,,
461,03/07/19 02:05:49 PM,11.55,8.56,,,
462,03/07/19 02:15:49 PM,11.57,8.56,,,
463,03/07/19 02:25:49 PM,11.56,8.56,,,
464,03/07/19 02:35:49 PM,11.57,8.56,,,
465,03/07/19 02:45:49 PM,11.56,8.56,,,
466,03/07/19 02:55:49 PM,11.55,8.56,,,
467,03/07/19 03:05:49 PM,11.55,8.58,,,
468,03/07/19 03:15:49 PM,11.55,8.56,,,
469,03/07/19 03:25:49 PM,11.55,8.56,,,
470,03/07/19 03:35:49 PM,11.55,8.56,,,
471,03/07/19 03:45:49 PM,11.55,8.56,,,
472,03/07/19 03:55:49 PM,11.56,8.54,,,
473,03/07/19 04:05:49 PM,11.56,8.56,,,
474,03/07/19 04:15:49 PM,11.55,8.56,,,
475,03/07/19 04:25:49 PM,11.54,8.56,,,
476,03/07/19 04:35:49 PM,11.53,8.56,,,
477,03/07/19 04:45:49 PM,11.53,8.58,,,
478,03/07/19 04:55:49 PM,11.52,8.58,,,
479,03/07/19 05:05:49 PM,11.53,8.58,,,
480,03/07/19 05:15:49 PM,11.51,8.58,,,
481,03/07/19 05:25:49 PM,11.52,8.60,,,
482,03/07/19 05:35:49 PM,11.52,8.60,,,
483,03/07/19 05:45:49 PM,11.50,8.60,,,
484,03/07/19 05:55:49 PM,11.48,8.58,,,
485,03/07/19 06:05:49 PM,11.47,8.58,,,
486,03/07/19 06:15:49 PM,11.45,8.56,,,
487,03/07/19 06:25:49 PM,11.45,8.54,,,
488,03/07/19 06:35:49 PM,11.45,8.52,,,
489,03/07/19 06:45:49 PM,11.44,8.50,,,
490,03/07/19 06:55:49 PM,11.43,8.48,,,
491,03/07/19 07:05:49 PM,11.43,8.48,,,
492,03/07/19 07:15:49 PM,11.43,8.46,,,
493,03/07/19 07:25:49 PM,11.44,8.44,,,
494,03/07/19 07:35:49 PM,11.47,8.44,,,
