"Plot Title: 28MAY-04JUN19_20449374_Conductivity"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,05/28/19 01:41:30 PM,33041.7,29061.0,11.15,39440.4,25.1261,Logged,,,
2,05/28/19 01:51:30 PM,33041.7,29069.8,11.15,39452.2,25.1345,,,,
3,05/28/19 02:01:30 PM,33041.7,29087.4,11.17,39456.7,25.1377,,,,
4,05/28/19 02:11:30 PM,33041.7,29046.4,11.19,39382.3,25.0851,,,,
5,05/28/19 02:21:30 PM,33041.7,29055.2,11.20,39384.5,25.0867,,,,
6,05/28/19 02:31:30 PM,33041.7,29078.6,11.22,39396.8,25.0953,,,,
7,05/28/19 02:41:30 PM,33041.7,29087.4,11.23,39399.1,25.0969,,,,
8,05/28/19 02:51:30 PM,33041.7,29052.2,11.24,39342.1,25.0567,,,,
9,05/28/19 03:01:30 PM,33041.7,29066.9,11.27,39333.2,25.0503,,,,
10,05/28/19 03:11:30 PM,33041.7,29075.7,11.28,39335.4,25.0519,,,,
11,05/28/19 03:21:30 PM,33041.7,29093.3,11.30,39339.9,25.0551,,,,
12,05/28/19 03:31:30 PM,33041.7,29090.4,11.31,39326.4,25.0456,,,,
13,05/28/19 03:41:30 PM,33041.7,29108.0,11.34,39321.4,25.0420,,,,
14,05/28/19 03:51:30 PM,33041.7,29099.2,11.35,39300.0,25.0269,,,,
15,05/28/19 04:01:30 PM,33041.7,29099.2,11.37,39280.9,25.0134,,,,
16,05/28/19 04:11:30 PM,33041.7,29066.9,11.38,39228.1,24.9761,,,,
17,05/28/19 04:21:30 PM,33041.7,29105.0,11.40,39260.1,24.9987,,,,
18,05/28/19 04:31:30 PM,33041.7,29125.6,11.42,39268.6,25.0047,,,,
19,05/28/19 04:41:30 PM,33041.7,29131.5,11.43,39266.9,25.0036,,,,
20,05/28/19 04:51:30 PM,33041.7,29105.0,11.44,39221.9,24.9718,,,,
21,05/28/19 05:01:30 PM,33041.7,29090.4,11.47,39173.9,24.9378,,,,
22,05/28/19 05:11:30 PM,33041.7,29146.2,11.48,39239.0,24.9838,,,,
23,05/28/19 05:21:30 PM,33041.7,29146.2,11.50,39219.9,24.9703,,,,
24,05/28/19 05:31:30 PM,33041.7,29137.4,11.51,39198.7,24.9553,,,,
25,05/28/19 05:41:30 PM,33041.7,29128.5,11.51,39186.8,24.9469,,,,
26,05/28/19 05:51:30 PM,33041.7,29143.2,11.52,39196.9,24.9541,,,,
27,05/28/19 06:01:30 PM,33041.7,29178.6,11.52,39244.2,24.9875,,,,
28,05/28/19 06:11:30 PM,33041.7,29155.0,11.51,39222.2,24.9719,,,,
29,05/28/19 06:21:30 PM,33041.7,29160.9,11.51,39230.1,24.9775,,,,
30,05/28/19 06:31:30 PM,33041.7,29110.9,11.51,39163.3,24.9303,,,,
31,05/28/19 06:41:30 PM,33041.7,29119.7,11.50,39184.5,24.9453,,,,
32,05/28/19 06:51:30 PM,33041.7,29113.8,11.48,39195.7,24.9532,,,,
33,05/28/19 07:01:30 PM,33041.7,29163.9,11.47,39272.2,25.0072,,,,
34,05/28/19 07:11:30 PM,33041.7,29113.8,11.46,39214.7,24.9666,,,,
35,05/28/19 07:21:30 PM,33041.7,29113.8,11.45,39224.2,24.9734,,,,
36,05/28/19 07:31:30 PM,33041.7,29128.5,11.44,39253.4,24.9940,,,,
37,05/28/19 07:41:30 PM,33041.7,29072.8,11.43,39188.4,24.9480,,,,
38,05/28/19 07:51:30 PM,33041.7,29113.8,11.40,39271.8,25.0070,,,,
39,05/28/19 08:01:30 PM,33041.7,29099.2,11.40,39252.3,24.9932,,,,
40,05/28/19 08:11:30 PM,33041.7,29105.0,11.39,39269.6,25.0054,,,,
41,05/28/19 08:21:30 PM,33041.7,29066.9,11.38,39228.1,24.9761,,,,
42,05/28/19 08:31:30 PM,33041.7,29090.4,11.37,39269.1,25.0051,,,,
43,05/28/19 08:41:30 PM,33041.7,29066.9,11.35,39256.7,24.9963,,,,
44,05/28/19 08:51:30 PM,33041.7,29066.9,11.34,39266.2,25.0031,,,,
45,05/28/19 09:01:30 PM,33041.7,29066.9,11.31,39294.9,25.0233,,,,
46,05/28/19 09:11:30 PM,33041.7,29034.7,11.29,39270.8,25.0063,,,,
47,05/28/19 09:21:30 PM,33041.7,29028.8,11.27,39282.0,25.0142,,,,
48,05/28/19 09:31:30 PM,33041.7,29046.4,11.24,39334.3,25.0512,,,,
49,05/28/19 09:41:30 PM,33041.7,28996.7,11.22,39286.6,25.0175,,,,
50,05/28/19 09:51:30 PM,33041.7,29023.0,11.20,39341.2,25.0560,,,,
51,05/28/19 10:01:30 PM,33041.7,29017.1,11.17,39362.0,25.0707,,,,
52,05/28/19 10:11:30 PM,33041.7,29014.2,11.14,39386.9,25.0883,,,,
53,05/28/19 10:21:30 PM,33041.7,28999.6,11.12,39386.4,25.0880,,,,
54,05/28/19 10:31:30 PM,33041.7,28976.3,11.09,39383.8,25.0862,,,,
55,05/28/19 10:41:30 PM,33041.7,28979.2,11.06,39416.6,25.1093,,,,
56,05/28/19 10:51:30 PM,33041.7,28953.0,11.04,39400.5,25.0979,,,,
57,05/28/19 11:01:30 PM,33041.7,28947.2,11.00,39431.2,25.1196,,,,
58,05/28/19 11:11:30 PM,33041.7,28970.5,10.99,39472.3,25.1487,,,,
59,05/28/19 11:21:30 PM,33041.7,28938.4,10.96,39457.8,25.1385,,,,
60,05/28/19 11:31:30 PM,33041.7,28950.1,10.93,39502.6,25.1702,,,,
61,05/28/19 11:41:30 PM,33041.7,28979.2,10.92,39551.7,25.2049,,,,
62,05/28/19 11:51:30 PM,33041.7,28923.9,10.92,39476.8,25.1519,,,,
63,05/29/19 12:01:30 AM,33041.7,28941.3,10.90,39519.7,25.1823,,,,
64,05/29/19 12:11:30 AM,33041.7,28932.6,10.89,39517.6,25.1808,,,,
65,05/29/19 12:21:30 AM,33041.7,28950.1,10.86,39570.4,25.2181,,,,
66,05/29/19 12:31:30 AM,33041.7,28935.5,10.85,39560.3,25.2109,,,,
67,05/29/19 12:41:30 AM,33041.7,28909.4,10.84,39534.5,25.1927,,,,
68,05/29/19 12:51:30 AM,33041.7,28926.8,10.83,39567.9,25.2163,,,,
69,05/29/19 01:01:30 AM,33041.7,28918.1,10.82,39565.7,25.2148,,,,
70,05/29/19 01:11:30 AM,33041.7,28912.3,10.81,39567.6,25.2161,,,,
71,05/29/19 01:21:30 AM,33041.7,28894.9,10.80,39553.6,25.2062,,,,
72,05/29/19 01:31:30 AM,33041.7,28886.2,10.78,39561.2,25.2116,,,,
73,05/29/19 01:41:30 AM,33041.7,28894.9,10.80,39553.6,25.2062,,,,
74,05/29/19 01:51:30 AM,33041.7,28903.6,10.77,39594.6,25.2352,,,,
75,05/29/19 02:01:30 AM,33041.7,28894.9,10.77,39582.7,25.2268,,,,
76,05/29/19 02:11:30 AM,33041.7,28894.9,10.78,39573.0,25.2200,,,,
77,05/29/19 02:21:30 AM,33041.7,28886.2,10.78,39561.2,25.2116,,,,
78,05/29/19 02:31:30 AM,33041.7,28894.9,10.78,39573.0,25.2200,,,,
79,05/29/19 02:41:30 AM,33041.7,28886.2,10.80,39541.8,25.1979,,,,
80,05/29/19 02:51:30 AM,33041.7,28897.8,10.80,39557.6,25.2090,,,,
81,05/29/19 03:01:30 AM,33041.7,28903.6,10.82,39546.1,25.2009,,,,
82,05/29/19 03:11:30 AM,33041.7,28921.0,10.83,39560.0,25.2107,,,,
83,05/29/19 03:21:30 AM,33041.7,28912.3,10.84,39538.5,25.1955,,,,
84,05/29/19 03:31:30 AM,33041.7,28903.6,10.86,39507.3,25.1735,,,,
85,05/29/19 03:41:30 AM,33041.7,28918.1,10.89,39498.0,25.1669,,,,
86,05/29/19 03:51:30 AM,33041.7,28935.5,10.90,39511.9,25.1767,,,,
87,05/29/19 04:01:30 AM,33041.7,28935.5,10.91,39502.2,25.1699,,,,
88,05/29/19 04:11:30 AM,33041.7,28892.0,10.91,39443.2,25.1282,,,,
89,05/29/19 04:21:30 AM,33041.7,28909.4,10.92,39457.2,25.1380,,,,
90,05/29/19 04:31:30 AM,33041.7,28941.3,10.95,39471.4,25.1481,,,,
91,05/29/19 04:41:30 AM,33041.7,28955.9,10.96,39481.5,25.1552,,,,
92,05/29/19 04:51:30 AM,33041.7,28947.2,10.97,39460.1,25.1401,,,,
93,05/29/19 05:01:30 AM,33041.7,28932.6,10.98,39430.7,25.1193,,,,
94,05/29/19 05:11:30 AM,33041.7,28958.8,10.99,39456.5,25.1375,,,,
95,05/29/19 05:21:30 AM,33041.7,28979.2,11.00,39474.4,25.1502,,,,
96,05/29/19 05:31:30 AM,33041.7,28996.7,11.03,39469.2,25.1465,,,,
97,05/29/19 05:41:30 AM,33041.7,28970.5,11.04,39424.1,25.1146,,,,
98,05/29/19 05:51:30 AM,33041.7,28938.4,11.05,39371.1,25.0772,,,,
99,05/29/19 06:01:30 AM,33041.7,28970.5,11.06,39404.9,25.1010,,,,
100,05/29/19 06:11:30 AM,33041.7,28985.0,11.08,39405.2,25.1013,,,,
101,05/29/19 06:21:30 AM,33041.7,28985.0,11.07,39414.8,25.1081,,,,
102,05/29/19 06:31:30 AM,33041.7,28993.8,11.09,39407.5,25.1029,,,,
103,05/29/19 06:41:30 AM,33041.7,28967.5,11.09,39372.0,25.0778,,,,
104,05/29/19 06:51:30 AM,33041.7,28970.5,11.11,39356.8,25.0671,,,,
105,05/29/19 07:01:30 AM,33041.7,28979.2,11.11,39368.5,25.0754,,,,
106,05/29/19 07:11:30 AM,33041.7,29017.1,11.12,39410.0,25.1047,,,,
107,05/29/19 07:21:30 AM,33041.7,28967.5,11.13,39333.6,25.0506,,,,
108,05/29/19 07:31:30 AM,33041.7,28999.6,11.14,39367.2,25.0744,,,,
109,05/29/19 07:41:30 AM,33041.7,29023.0,11.15,39389.2,25.0899,,,,
110,05/29/19 07:51:30 AM,33041.7,29017.1,11.16,39371.6,25.0775,,,,
111,05/29/19 08:01:30 AM,33041.7,28999.6,11.20,39309.7,25.0338,,,,
112,05/29/19 08:11:30 AM,33041.7,29023.0,11.21,39331.6,25.0492,,,,
113,05/29/19 08:21:30 AM,33041.7,29023.0,11.23,39312.4,25.0357,,,,
114,05/29/19 08:31:30 AM,33041.7,29014.2,11.24,39291.0,25.0206,,,,
115,05/29/19 08:41:30 AM,33041.7,29046.4,11.26,39315.2,25.0376,,,,
116,05/29/19 08:51:30 AM,33041.7,29046.4,11.24,39334.3,25.0512,,,,
117,05/29/19 09:01:30 AM,33041.7,29046.4,11.26,39315.2,25.0376,,,,
118,05/29/19 09:11:30 AM,33041.7,29046.4,11.27,39305.6,25.0309,,,,
119,05/29/19 09:21:30 AM,33041.7,29069.8,11.28,39327.5,25.0463,,,,
120,05/29/19 09:31:30 AM,33041.7,29078.6,11.30,39320.2,25.0412,,,,
121,05/29/19 09:41:30 AM,33041.7,29069.8,11.31,39298.8,25.0261,,,,
122,05/29/19 09:51:30 AM,33041.7,29093.3,11.34,39301.7,25.0281,,,,
123,05/29/19 10:01:30 AM,33041.7,29078.6,11.35,39272.4,25.0074,,,,
124,05/29/19 10:11:30 AM,33041.7,29102.1,11.37,39284.8,25.0162,,,,
125,05/29/19 10:21:30 AM,33041.7,29093.3,11.38,39263.5,25.0011,,,,
126,05/29/19 10:31:30 AM,33041.7,29069.8,11.40,39212.9,24.9654,,,,
127,05/29/19 10:41:30 AM,33041.7,29090.4,11.42,39221.4,24.9714,,,,
128,05/29/19 10:51:30 AM,33041.7,29090.4,11.43,39211.9,24.9647,,,,
129,05/29/19 11:01:30 AM,33041.7,29116.8,11.46,39218.7,24.9695,,,,
130,05/29/19 11:11:30 AM,33041.7,29084.5,11.46,39175.5,24.9389,,,,
131,05/29/19 11:21:30 AM,33041.7,29137.4,11.47,39236.7,24.9822,,,,
132,05/29/19 11:31:30 AM,33041.7,29131.5,11.46,39238.4,24.9834,,,,
133,05/29/19 11:41:30 AM,33041.7,29116.8,11.45,39228.2,24.9762,,,,
134,05/29/19 11:51:30 AM,33041.7,29137.4,11.44,39265.3,25.0024,,,,
135,05/29/19 12:01:30 PM,33041.7,29146.2,11.43,39286.6,25.0175,,,,
136,05/29/19 12:11:30 PM,33041.7,29131.5,11.42,39276.5,25.0103,,,,
137,05/29/19 12:21:30 PM,33041.7,29131.5,11.39,39305.1,25.0305,,,,
138,05/29/19 12:31:30 PM,33041.7,29116.8,11.38,39295.0,25.0233,,,,
139,05/29/19 12:41:30 PM,33041.7,29122.7,11.36,39322.0,25.0424,,,,
140,05/29/19 12:51:30 PM,33041.7,29125.6,11.34,39345.0,25.0587,,,,
141,05/29/19 01:01:30 PM,33041.7,29116.8,11.31,39361.9,25.0706,,,,
142,05/29/19 01:11:30 PM,33041.7,29099.2,11.29,39357.4,25.0675,,,,
143,05/29/19 01:21:30 PM,33041.7,29122.7,11.27,39408.1,25.1033,,,,
144,05/29/19 01:31:30 PM,33041.7,29116.8,11.27,39400.2,25.0977,,,,
145,05/29/19 01:41:30 PM,33041.7,29066.9,11.27,39333.2,25.0503,,,,
146,05/29/19 01:51:30 PM,33041.7,29108.0,11.27,39388.4,25.0894,,,,
147,05/29/19 02:01:30 PM,33041.7,29116.8,11.27,39400.2,25.0977,,,,
148,05/29/19 02:11:30 PM,33041.7,29108.0,11.28,39378.8,25.0826,,,,
149,05/29/19 02:21:30 PM,33041.7,29108.0,11.30,39359.6,25.0691,,,,
150,05/29/19 02:31:30 PM,33041.7,29146.2,11.34,39372.6,25.0782,,,,
151,05/29/19 02:41:30 PM,33041.7,29146.2,11.36,39353.5,25.0647,,,,
152,05/29/19 02:51:30 PM,33041.7,29146.2,11.37,39343.9,25.0579,,,,
153,05/29/19 03:01:30 PM,33041.7,29163.9,11.38,39358.1,25.0680,,,,
154,05/29/19 03:11:30 PM,33041.7,29160.9,11.40,39334.9,25.0516,,,,
155,05/29/19 03:21:30 PM,33041.7,29169.8,11.43,39318.2,25.0398,,,,
156,05/29/19 03:31:30 PM,33041.7,29169.8,11.45,39299.1,25.0263,,,,
157,05/29/19 03:41:30 PM,33041.7,29193.4,11.48,39302.1,25.0284,,,,
158,05/29/19 03:51:30 PM,33041.7,29193.4,11.51,39273.5,25.0082,,,,
159,05/29/19 04:01:30 PM,33041.7,29208.1,11.52,39283.6,25.0153,,,,
160,05/29/19 04:11:30 PM,33041.7,29222.9,11.54,39284.3,25.0158,,,,
161,05/29/19 04:21:30 PM,33041.7,29231.8,11.57,39267.7,25.0041,,,,
162,05/29/19 04:31:30 PM,33041.7,29231.8,11.60,39239.1,24.9839,,,,
163,05/29/19 04:41:30 PM,33041.7,29243.6,11.63,39226.4,24.9749,,,,
164,05/29/19 04:51:30 PM,33041.7,29261.4,11.67,39212.1,24.9648,,,,
165,05/29/19 05:01:30 PM,33041.7,29261.4,11.71,39174.2,24.9380,,,,
166,05/29/19 05:11:30 PM,33041.7,29285.1,11.75,39167.8,24.9335,,,,
167,05/29/19 05:21:30 PM,33041.7,29276.2,11.78,39127.7,24.9052,,,,
168,05/29/19 05:31:30 PM,33041.7,29308.8,11.81,39142.6,24.9157,,,,
169,05/29/19 05:41:30 PM,33041.7,29282.1,11.83,39088.3,24.8774,,,,
170,05/29/19 05:51:30 PM,33041.7,29308.8,11.84,39114.3,24.8957,,,,
171,05/29/19 06:01:30 PM,33041.7,29332.6,11.85,39136.4,24.9113,,,,
172,05/29/19 06:11:30 PM,33041.7,29344.5,11.89,39114.4,24.8958,,,,
173,05/29/19 06:21:30 PM,33041.7,29338.6,11.89,39106.6,24.8903,,,,
174,05/29/19 06:31:30 PM,33041.7,29338.6,11.90,39097.2,24.8836,,,,
175,05/29/19 06:41:30 PM,33041.7,29314.8,11.89,39075.1,24.8680,,,,
176,05/29/19 06:51:30 PM,33041.7,29308.8,11.87,39086.0,24.8757,,,,
177,05/29/19 07:01:30 PM,33041.7,29314.8,11.86,39103.3,24.8880,,,,
178,05/29/19 07:11:30 PM,33041.7,29291.0,11.85,39081.2,24.8724,,,,
179,05/29/19 07:21:30 PM,33041.7,29299.9,11.84,39102.5,24.8874,,,,
180,05/29/19 07:31:30 PM,33041.7,29276.2,11.83,39080.5,24.8718,,,,
181,05/29/19 07:41:30 PM,33041.7,29299.9,11.81,39130.8,24.9074,,,,
182,05/29/19 07:51:30 PM,33041.7,29282.1,11.77,39144.9,24.9174,,,,
183,05/29/19 08:01:30 PM,33041.7,29270.3,11.75,39148.2,24.9197,,,,
184,05/29/19 08:11:30 PM,33041.7,29270.3,11.73,39167.1,24.9330,,,,
185,05/29/19 08:21:30 PM,33041.7,29279.2,11.70,39207.4,24.9615,,,,
186,05/29/19 08:31:30 PM,33041.7,29237.7,11.69,39161.6,24.9292,,,,
187,05/29/19 08:41:30 PM,33041.7,29255.5,11.68,39194.8,24.9526,,,,
188,05/29/19 08:51:30 PM,33041.7,29237.7,11.66,39190.0,24.9492,,,,
189,05/29/19 09:01:30 PM,33041.7,29214.0,11.63,39186.9,24.9470,,,,
190,05/29/19 09:11:30 PM,33041.7,29214.0,11.61,39205.9,24.9604,,,,
191,05/29/19 09:21:30 PM,33041.7,29199.3,11.60,39195.8,24.9533,,,,
192,05/29/19 09:31:30 PM,33041.7,29184.5,11.59,39185.6,24.9461,,,,
193,05/29/19 09:41:30 PM,33041.7,29199.3,11.55,39243.3,24.9869,,,,
194,05/29/19 09:51:30 PM,33041.7,29178.6,11.53,39234.7,24.9808,,,,
195,05/29/19 10:01:30 PM,33041.7,29160.9,11.52,39220.6,24.9708,,,,
196,05/29/19 10:11:30 PM,33041.7,29178.6,11.50,39263.2,25.0009,,,,
197,05/29/19 10:21:30 PM,33041.7,29137.4,11.46,39246.2,24.9889,,,,
198,05/29/19 10:31:30 PM,33041.7,29113.8,11.43,39243.2,24.9868,,,,
199,05/29/19 10:41:30 PM,33041.7,29131.5,11.40,39295.6,25.0238,,,,
200,05/29/19 10:51:30 PM,33041.7,29122.7,11.37,39312.4,25.0357,,,,
201,05/29/19 11:01:30 PM,33041.7,29099.2,11.34,39309.6,25.0337,,,,
202,05/29/19 11:11:30 PM,33041.7,29066.9,11.29,39314.0,25.0368,,,,
203,05/29/19 11:21:30 PM,33041.7,29078.6,11.27,39348.9,25.0615,,,,
204,05/29/19 11:31:30 PM,33041.7,29064.0,11.21,39386.8,25.0882,,,,
205,05/29/19 11:41:30 PM,33041.7,29064.0,11.16,39434.8,25.1222,,,,
206,05/29/19 11:51:30 PM,33041.7,29040.5,11.12,39441.6,25.1270,,,,
207,05/30/19 12:01:30 AM,33041.7,29017.1,11.09,39438.9,25.1251,,,,
208,05/30/19 12:11:30 AM,33041.7,29025.9,11.06,39479.7,25.1539,,,,
209,05/30/19 12:21:30 AM,33041.7,29002.5,11.01,39496.3,25.1657,,,,
210,05/30/19 12:31:30 AM,33041.7,28979.2,10.98,39493.7,25.1639,,,,
211,05/30/19 12:41:30 AM,33041.7,28955.9,10.95,39491.2,25.1621,,,,
212,05/30/19 12:51:30 AM,33041.7,28958.8,10.90,39543.5,25.1990,,,,
213,05/30/19 01:01:30 AM,33041.7,28941.3,10.85,39568.2,25.2165,,,,
214,05/30/19 01:11:30 AM,33041.7,28886.2,10.84,39503.1,25.1705,,,,
215,05/30/19 01:21:30 AM,33041.7,28909.4,10.84,39534.5,25.1927,,,,
216,05/30/19 01:31:30 AM,33041.7,28935.5,10.84,39570.0,25.2178,,,,
217,05/30/19 01:41:30 AM,33041.7,28926.8,10.85,39548.5,25.2026,,,,
218,05/30/19 01:51:30 AM,33041.7,28950.1,10.86,39570.4,25.2181,,,,
219,05/30/19 02:01:30 AM,33041.7,28909.4,10.85,39524.9,25.1859,,,,
220,05/30/19 02:11:30 AM,33041.7,28932.6,10.86,39546.7,25.2013,,,,
221,05/30/19 02:21:30 AM,33041.7,28950.1,10.88,39551.0,25.2044,,,,
222,05/30/19 02:31:30 AM,33041.7,28973.4,10.91,39553.6,25.2062,,,,
223,05/30/19 02:41:30 AM,33041.7,28947.2,10.96,39469.7,25.1469,,,,
224,05/30/19 02:51:30 AM,33041.7,28970.5,10.97,39491.6,25.1624,,,,
225,05/30/19 03:01:30 AM,33041.7,28970.5,11.00,39462.7,25.1419,,,,
226,05/30/19 03:11:30 AM,33041.7,28970.5,11.00,39462.7,25.1419,,,,
227,05/30/19 03:21:30 AM,33041.7,28955.9,11.00,39442.9,25.1279,,,,
228,05/30/19 03:31:30 AM,33041.7,28970.5,10.99,39472.3,25.1487,,,,
229,05/30/19 03:41:30 AM,33041.7,28979.2,11.01,39464.8,25.1434,,,,
230,05/30/19 03:51:30 AM,33041.7,28985.0,11.04,39443.7,25.1285,,,,
231,05/30/19 04:01:30 AM,33041.7,28985.0,11.07,39414.8,25.1081,,,,
232,05/30/19 04:11:30 AM,33041.7,28996.7,11.09,39411.4,25.1056,,,,
233,05/30/19 04:21:30 AM,33041.7,28999.6,11.13,39376.8,25.0812,,,,
234,05/30/19 04:31:30 AM,33041.7,28967.5,11.15,39314.4,25.0371,,,,
235,05/30/19 04:41:30 AM,33041.7,29023.0,11.17,39370.0,25.0764,,,,
236,05/30/19 04:51:30 AM,33041.7,29023.0,11.19,39350.8,25.0628,,,,
237,05/30/19 05:01:30 AM,33041.7,29046.4,11.22,39353.5,25.0647,,,,
238,05/30/19 05:11:30 AM,33041.7,29037.6,11.23,39332.1,25.0496,,,,
239,05/30/19 05:21:30 AM,33041.7,29055.2,11.26,39327.0,25.0460,,,,
240,05/30/19 05:31:30 AM,33041.7,29064.0,11.27,39329.3,25.0476,,,,
241,05/30/19 05:41:30 AM,33041.7,29052.2,11.29,39294.3,25.0229,,,,
242,05/30/19 05:51:30 AM,33041.7,29093.3,11.32,39320.8,25.0416,,,,
243,05/30/19 06:01:30 AM,33041.7,29075.7,11.34,39278.0,25.0114,,,,
244,05/30/19 06:11:30 AM,33041.7,29078.6,11.35,39272.4,25.0074,,,,
245,05/30/19 06:21:30 AM,33041.7,29075.7,11.36,39259.0,24.9979,,,,
246,05/30/19 06:31:30 AM,33041.7,29102.1,11.38,39275.3,25.0094,,,,
247,05/30/19 06:41:30 AM,33041.7,29084.5,11.39,39242.1,24.9860,,,,
248,05/30/19 06:51:30 AM,33041.7,29084.5,11.40,39232.6,24.9793,,,,
249,05/30/19 07:01:30 AM,33041.7,29084.5,11.42,39213.5,24.9658,,,,
250,05/30/19 07:11:30 AM,33041.7,29090.4,11.43,39211.9,24.9647,,,,
251,05/30/19 07:21:30 AM,33041.7,29090.4,11.44,39202.4,24.9580,,,,
252,05/30/19 07:31:30 AM,33041.7,29116.8,11.45,39228.2,24.9762,,,,
253,05/30/19 07:41:30 AM,33041.7,29105.0,11.47,39193.4,24.9516,,,,
254,05/30/19 07:51:30 AM,33041.7,29122.7,11.51,39179.0,24.9415,,,,
255,05/30/19 08:01:30 AM,33041.7,29099.2,11.54,39119.2,24.8992,,,,
256,05/30/19 08:11:30 AM,33041.7,29137.4,11.57,39141.7,24.9151,,,,
257,05/30/19 08:21:30 AM,33041.7,29128.5,11.60,39101.4,24.8866,,,,
258,05/30/19 08:31:30 AM,33041.7,29160.9,11.63,39116.2,24.8971,,,,
259,05/30/19 08:41:30 AM,33041.7,29143.2,11.67,39054.8,24.8537,,,,
260,05/30/19 08:51:30 AM,33041.7,29190.4,11.69,39098.7,24.8847,,,,
261,05/30/19 09:01:30 AM,33041.7,29199.3,11.73,39072.7,24.8664,,,,
262,05/30/19 09:11:30 AM,33041.7,29205.2,11.71,39099.5,24.8853,,,,
263,05/30/19 09:21:30 AM,33041.7,29205.2,11.70,39108.9,24.8919,,,,
264,05/30/19 09:31:30 AM,33041.7,29158.0,11.68,39065.0,24.8609,,,,
265,05/30/19 09:41:30 AM,33041.7,29175.7,11.65,39117.0,24.8976,,,,
266,05/30/19 09:51:30 AM,33041.7,29160.9,11.61,39135.1,24.9104,,,,
267,05/30/19 10:01:30 AM,33041.7,29155.0,11.59,39146.2,24.9183,,,,
268,05/30/19 10:11:30 AM,33041.7,29152.1,11.55,39180.3,24.9423,,,,
269,05/30/19 10:21:30 AM,33041.7,29155.0,11.53,39203.2,24.9585,,,,
270,05/30/19 10:31:30 AM,33041.7,29146.2,11.50,39219.9,24.9703,,,,
271,05/30/19 10:41:30 AM,33041.7,29137.4,11.47,39236.7,24.9822,,,,
272,05/30/19 10:51:30 AM,33041.7,29113.8,11.46,39214.7,24.9666,,,,
273,05/30/19 11:01:30 AM,33041.7,29131.5,11.44,39257.4,24.9968,,,,
274,05/30/19 11:11:30 AM,33041.7,29122.7,11.42,39264.7,25.0020,,,,
275,05/30/19 11:21:30 AM,33041.7,29155.0,11.39,39336.6,25.0528,,,,
276,05/30/19 11:31:30 AM,33041.7,29131.5,11.39,39305.1,25.0305,,,,
277,05/30/19 11:41:30 AM,33041.7,29113.8,11.39,39281.4,25.0138,,,,
278,05/30/19 11:51:30 AM,33041.7,29122.7,11.39,39293.3,25.0222,,,,
279,05/30/19 12:01:30 PM,33041.7,29131.5,11.39,39305.1,25.0305,,,,
280,05/30/19 12:11:30 PM,33041.7,29122.7,11.38,39302.9,25.0289,,,,
281,05/30/19 12:21:30 PM,33041.7,29122.7,11.37,39312.4,25.0357,,,,
282,05/30/19 12:31:30 PM,33041.7,29137.4,11.36,39341.7,25.0564,,,,
283,05/30/19 12:41:30 PM,33041.7,29131.5,11.35,39343.3,25.0575,,,,
284,05/30/19 12:51:30 PM,33041.7,29108.0,11.32,39340.5,25.0555,,,,
285,05/30/19 01:01:30 PM,33041.7,29122.7,11.31,39369.8,25.0762,,,,
286,05/30/19 01:11:30 PM,33041.7,29116.8,11.30,39371.5,25.0774,,,,
287,05/30/19 01:21:30 PM,33041.7,29099.2,11.29,39357.4,25.0675,,,,
288,05/30/19 01:31:30 PM,33041.7,29131.5,11.28,39410.4,25.1049,,,,
289,05/30/19 01:41:30 PM,33041.7,29134.4,11.24,39452.7,25.1348,,,,
290,05/30/19 01:51:30 PM,33041.7,29090.4,11.23,39403.1,25.0998,,,,
291,05/30/19 02:01:30 PM,33041.7,29090.4,11.21,39422.3,25.1134,,,,
292,05/30/19 02:11:30 PM,33041.7,29078.6,11.19,39425.6,25.1157,,,,
293,05/30/19 02:21:30 PM,33041.7,29093.3,11.16,39474.3,25.1501,,,,
294,05/30/19 02:31:30 PM,33041.7,29069.8,11.15,39452.2,25.1345,,,,
295,05/30/19 02:41:30 PM,33041.7,29046.4,11.15,39420.7,25.1122,,,,
296,05/30/19 02:51:30 PM,33041.7,29087.4,11.16,39466.3,25.1445,,,,
297,05/30/19 03:01:30 PM,33041.7,29069.8,11.17,39433.0,25.1209,,,,
298,05/30/19 03:11:30 PM,33041.7,29108.0,11.21,39446.0,25.1301,,,,
299,05/30/19 03:21:30 PM,33041.7,29102.1,11.26,39390.0,25.0906,,,,
300,05/30/19 03:31:30 PM,33041.7,29099.2,11.28,39367.0,25.0743,,,,
301,05/30/19 03:41:30 PM,33041.7,29122.7,11.30,39379.4,25.0830,,,,
302,05/30/19 03:51:30 PM,33041.7,29116.8,11.32,39352.3,25.0639,,,,
303,05/30/19 04:01:30 PM,33041.7,29155.0,11.35,39374.8,25.0798,,,,
304,05/30/19 04:11:30 PM,33041.7,29163.9,11.39,39348.5,25.0612,,,,
