#,"Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)"
1,4/22/19 10:45,11.42,9.64,11.42,99.4
2,4/22/19 10:55,11.5,9.44,11.5,99.6
3,4/22/19 11:05,11.53,9.38,11.53,99.7
4,4/22/19 11:15,11.53,9.38,11.53,99.7
5,4/22/19 11:25,11.54,9.38,11.54,99.8
6,4/22/19 11:35,11.53,9.38,11.53,99.7
7,4/22/19 11:45,11.54,9.38,11.54,99.8
8,4/22/19 11:55,11.54,9.38,11.54,99.8
9,4/22/19 12:05,11.53,9.38,11.53,99.7
10,4/22/19 12:15,11.54,9.38,11.54,99.8
11,4/22/19 12:25,11.53,9.38,11.53,99.7
12,4/22/19 12:35,11.54,9.38,11.54,99.8
13,4/22/19 12:45,11.55,9.38,11.55,99.9
14,4/22/19 12:55,11.55,9.38,11.55,99.9
15,4/22/19 13:05,11.55,9.38,11.55,99.9
16,4/22/19 13:15,11.53,9.38,11.53,99.7
17,4/22/19 13:25,11.54,9.38,11.54,99.8
18,4/22/19 13:35,11.54,9.38,11.54,99.8
19,4/22/19 13:45,11.53,9.38,11.53,99.7
20,4/22/19 13:55,11.54,9.4,11.54,99.9
21,4/22/19 14:05,11.54,9.4,11.54,99.9
22,4/22/19 14:15,11.55,9.42,11.55,100
23,4/22/19 14:25,11.53,9.42,11.53,99.8
24,4/22/19 14:35,11.53,9.42,11.53,99.8
25,4/22/19 14:45,11.55,9.44,11.55,100
26,4/22/19 14:55,11.54,9.44,11.54,100
27,4/22/19 15:05,11.53,9.44,11.53,99.9
28,4/22/19 15:15,11.53,9.44,11.53,99.9
29,4/22/19 15:25,11.52,9.44,11.52,99.8
30,4/22/19 15:35,11.53,9.44,11.53,99.9
31,4/22/19 15:45,11.53,9.42,11.53,99.8
32,4/22/19 15:55,11.52,9.42,11.52,99.7
33,4/22/19 16:05,11.52,9.4,11.52,99.7
34,4/22/19 16:15,11.54,9.38,11.54,99.8
35,4/22/19 16:25,11.53,9.38,11.53,99.7
36,4/22/19 16:35,11.53,9.36,11.53,99.7
37,4/22/19 16:45,11.53,9.34,11.53,99.6
38,4/22/19 16:55,11.53,9.34,11.53,99.6
39,4/22/19 17:05,11.53,9.34,11.53,99.6
40,4/22/19 17:15,11.54,9.32,11.54,99.7
41,4/22/19 17:25,11.54,9.32,11.54,99.7
42,4/22/19 17:35,11.54,9.32,11.54,99.7
43,4/22/19 17:45,11.53,9.3,11.53,99.5
44,4/22/19 17:55,11.53,9.3,11.53,99.5
45,4/22/19 18:05,11.55,9.28,11.55,99.7
46,4/22/19 18:15,11.54,9.28,11.54,99.6
47,4/22/19 18:25,11.54,9.28,11.54,99.6
48,4/22/19 18:35,11.54,9.28,11.54,99.6
49,4/22/19 18:45,11.54,9.28,11.54,99.6
50,4/22/19 18:55,11.53,9.28,11.53,99.5
51,4/22/19 19:05,11.55,9.28,11.55,99.7
52,4/22/19 19:15,11.54,9.28,11.54,99.6
53,4/22/19 19:25,11.55,9.3,11.55,99.7
54,4/22/19 19:35,11.54,9.28,11.54,99.6
55,4/22/19 19:45,11.53,9.28,11.53,99.5
56,4/22/19 19:55,11.53,9.28,11.53,99.5
57,4/22/19 20:05,11.53,9.28,11.53,99.5
58,4/22/19 20:15,11.53,9.28,11.53,99.5
59,4/22/19 20:25,11.52,9.28,11.52,99.4
60,4/22/19 20:35,11.53,9.3,11.53,99.5
61,4/22/19 20:45,11.53,9.3,11.53,99.5
62,4/22/19 20:55,11.52,9.3,11.52,99.5
63,4/22/19 21:05,11.53,9.32,11.53,99.6
64,4/22/19 21:15,11.52,9.32,11.52,99.5
65,4/22/19 21:25,11.52,9.32,11.52,99.5
66,4/22/19 21:35,11.51,9.32,11.51,99.4
67,4/22/19 21:45,11.52,9.32,11.52,99.5
68,4/22/19 21:55,11.52,9.34,11.52,99.5
69,4/22/19 22:05,11.51,9.34,11.51,99.5
70,4/22/19 22:15,11.52,9.34,11.52,99.5
71,4/22/19 22:25,11.53,9.34,11.53,99.6
72,4/22/19 22:35,11.52,9.34,11.52,99.5
73,4/22/19 22:45,11.52,9.32,11.52,99.5
74,4/22/19 22:55,11.52,9.34,11.52,99.5
75,4/22/19 23:05,11.5,9.32,11.5,99.3
76,4/22/19 23:15,11.51,9.32,11.51,99.4
77,4/22/19 23:25,11.51,9.32,11.51,99.4
78,4/22/19 23:35,11.51,9.32,11.51,99.4
79,4/22/19 23:45,11.51,9.32,11.51,99.4
80,4/22/19 23:55,11.51,9.32,11.51,99.4
81,4/23/19 0:05,11.51,9.32,11.51,99.4
82,4/23/19 0:15,11.52,9.32,11.52,99.5
83,4/23/19 0:25,11.51,9.32,11.51,99.4
84,4/23/19 0:35,11.51,9.32,11.51,99.4
85,4/23/19 0:45,11.51,9.32,11.51,99.4
86,4/23/19 0:55,11.52,9.32,11.52,99.5
87,4/23/19 1:05,11.52,9.32,11.52,99.5
88,4/23/19 1:15,11.5,9.32,11.5,99.3
89,4/23/19 1:25,11.51,9.34,11.51,99.5
90,4/23/19 1:35,11.51,9.34,11.51,99.5
91,4/23/19 1:45,11.5,9.36,11.5,99.4
92,4/23/19 1:55,11.51,9.36,11.51,99.5
93,4/23/19 2:05,11.51,9.36,11.51,99.5
94,4/23/19 2:15,11.51,9.36,11.51,99.5
95,4/23/19 2:25,11.5,9.38,11.5,99.5
96,4/23/19 2:35,11.5,9.38,11.5,99.5
97,4/23/19 2:45,11.51,9.38,11.51,99.6
98,4/23/19 2:55,11.51,9.4,11.51,99.6
99,4/23/19 3:05,11.49,9.4,11.49,99.4
100,4/23/19 3:15,11.5,9.4,11.5,99.5
101,4/23/19 3:25,11.49,9.4,11.49,99.4
102,4/23/19 3:35,11.48,9.4,11.48,99.3
103,4/23/19 3:45,11.49,9.4,11.49,99.4
104,4/23/19 3:55,11.5,9.4,11.5,99.5
105,4/23/19 4:05,11.49,9.4,11.49,99.4
106,4/23/19 4:15,11.49,9.38,11.49,99.4
107,4/23/19 4:25,11.49,9.38,11.49,99.4
108,4/23/19 4:35,11.48,9.38,11.48,99.3
109,4/23/19 4:45,11.5,9.38,11.5,99.5
110,4/23/19 4:55,11.5,9.36,11.5,99.4
111,4/23/19 5:05,11.49,9.36,11.49,99.3
112,4/23/19 5:15,11.5,9.36,11.5,99.4
113,4/23/19 5:25,11.5,9.36,11.5,99.4
114,4/23/19 5:35,11.49,9.36,11.49,99.3
115,4/23/19 5:45,11.5,9.34,11.5,99.4
116,4/23/19 5:55,11.5,9.34,11.5,99.4
117,4/23/19 6:05,11.51,9.34,11.51,99.5
118,4/23/19 6:15,11.5,9.34,11.5,99.4
119,4/23/19 6:25,11.51,9.34,11.51,99.5
120,4/23/19 6:35,11.5,9.34,11.5,99.4
121,4/23/19 6:45,11.5,9.34,11.5,99.4
122,4/23/19 6:55,11.51,9.34,11.51,99.5
123,4/23/19 7:05,11.5,9.34,11.5,99.4
124,4/23/19 7:15,11.5,9.34,11.5,99.4
125,4/23/19 7:25,11.5,9.34,11.5,99.4
126,4/23/19 7:35,11.5,9.34,11.5,99.4
127,4/23/19 7:45,11.51,9.36,11.51,99.5
128,4/23/19 7:55,11.51,9.38,11.51,99.6
129,4/23/19 8:05,11.51,9.4,11.51,99.6
130,4/23/19 8:15,11.51,9.42,11.51,99.6
131,4/23/19 8:25,11.51,9.42,11.51,99.6
132,4/23/19 8:35,11.51,9.44,11.51,99.7
133,4/23/19 8:45,11.5,9.44,11.5,99.6
134,4/23/19 8:55,11.5,9.44,11.5,99.6
135,4/23/19 9:05,11.49,9.44,11.49,99.5
136,4/23/19 9:15,11.5,9.44,11.5,99.6
137,4/23/19 9:25,11.51,9.44,11.51,99.7
138,4/23/19 9:35,11.5,9.44,11.5,99.6
139,4/23/19 9:45,11.51,9.44,11.51,99.7
140,4/23/19 9:55,11.51,9.44,11.51,99.7
141,4/23/19 10:05,11.49,9.44,11.49,99.5
142,4/23/19 10:15,11.51,9.44,11.51,99.7
143,4/23/19 10:25,11.51,9.44,11.51,99.7
144,4/23/19 10:35,11.49,9.44,11.49,99.5
145,4/23/19 10:45,11.52,9.46,11.52,99.8
146,4/23/19 10:55,11.51,9.46,11.51,99.7
147,4/23/19 11:05,11.5,9.46,11.5,99.7
148,4/23/19 11:15,11.51,9.48,11.51,99.8
149,4/23/19 11:25,11.52,9.5,11.52,99.9
150,4/23/19 11:35,11.5,9.52,11.5,99.8
151,4/23/19 11:45,11.5,9.54,11.5,99.8
152,4/23/19 11:55,11.51,9.54,11.51,99.9
153,4/23/19 12:05,11.51,9.54,11.51,99.9
154,4/23/19 12:15,11.5,9.56,11.5,99.9
155,4/23/19 12:25,11.52,9.56,11.52,100.1
156,4/23/19 12:35,11.5,9.56,11.5,99.9
157,4/23/19 12:45,11.5,9.56,11.5,99.9
158,4/23/19 12:55,11.5,9.56,11.5,99.9
159,4/23/19 13:05,11.5,9.58,11.5,99.9
160,4/23/19 13:15,11.5,9.58,11.5,99.9
161,4/23/19 13:25,11.51,9.58,11.51,100
162,4/23/19 13:35,11.5,9.58,11.5,99.9
163,4/23/19 13:45,11.5,9.56,11.5,99.9
164,4/23/19 13:55,11.5,9.56,11.5,99.9
165,4/23/19 14:05,11.51,9.56,11.51,100
166,4/23/19 14:15,11.5,9.54,11.5,99.8
167,4/23/19 14:25,11.52,9.56,11.52,100.1
168,4/23/19 14:35,11.51,9.56,11.51,100
169,4/23/19 14:45,11.5,9.56,11.5,99.9
170,4/23/19 14:55,11.51,9.56,11.51,100
171,4/23/19 15:05,11.5,9.56,11.5,99.9
172,4/23/19 15:15,11.51,9.56,11.51,100
173,4/23/19 15:25,11.5,9.56,11.5,99.9
174,4/23/19 15:35,11.49,9.54,11.49,99.8
175,4/23/19 15:45,11.51,9.54,11.51,99.9
176,4/23/19 15:55,11.5,9.54,11.5,99.8
177,4/23/19 16:05,11.51,9.52,11.51,99.9
178,4/23/19 16:15,11.51,9.52,11.51,99.9
179,4/23/19 16:25,11.5,9.52,11.5,99.8
180,4/23/19 16:35,11.51,9.52,11.51,99.9
181,4/23/19 16:45,11.5,9.5,11.5,99.8
182,4/23/19 16:55,11.51,9.5,11.51,99.8
183,4/23/19 17:05,11.51,9.5,11.51,99.8
184,4/23/19 17:15,11.52,9.48,11.52,99.9
185,4/23/19 17:25,11.5,9.48,11.5,99.7
186,4/23/19 17:35,11.5,9.48,11.5,99.7
187,4/23/19 17:45,11.5,9.48,11.5,99.7
188,4/23/19 17:55,11.5,9.46,11.5,99.7
189,4/23/19 18:05,11.5,9.46,11.5,99.7
190,4/23/19 18:15,11.5,9.46,11.5,99.7
191,4/23/19 18:25,11.5,9.46,11.5,99.7
192,4/23/19 18:35,11.5,9.46,11.5,99.7
193,4/23/19 18:45,11.51,9.46,11.51,99.7
194,4/23/19 18:55,11.5,9.44,11.5,99.6
195,4/23/19 19:05,11.5,9.44,11.5,99.6
196,4/23/19 19:15,11.5,9.44,11.5,99.6
197,4/23/19 19:25,11.51,9.42,11.51,99.6
198,4/23/19 19:35,11.5,9.42,11.5,99.6
199,4/23/19 19:45,11.51,9.42,11.51,99.6
200,4/23/19 19:55,11.51,9.4,11.51,99.6
201,4/23/19 20:05,11.51,9.4,11.51,99.6
202,4/23/19 20:15,11.51,9.4,11.51,99.6
203,4/23/19 20:25,11.51,9.4,11.51,99.6
204,4/23/19 20:35,11.51,9.42,11.51,99.6
205,4/23/19 20:45,11.5,9.42,11.5,99.6
206,4/23/19 20:55,11.51,9.42,11.51,99.6
207,4/23/19 21:05,11.51,9.42,11.51,99.6
208,4/23/19 21:15,11.5,9.42,11.5,99.6
209,4/23/19 21:25,11.51,9.4,11.51,99.6
210,4/23/19 21:35,11.51,9.42,11.51,99.6
211,4/23/19 21:45,11.5,9.42,11.5,99.6
212,4/23/19 21:55,11.52,9.42,11.52,99.7
213,4/23/19 22:05,11.51,9.42,11.51,99.6
214,4/23/19 22:15,11.51,9.42,11.51,99.6
215,4/23/19 22:25,11.52,9.42,11.52,99.7
216,4/23/19 22:35,11.52,9.42,11.52,99.7
217,4/23/19 22:45,11.52,9.42,11.52,99.7
218,4/23/19 22:55,11.52,9.42,11.52,99.7
219,4/23/19 23:05,11.51,9.4,11.51,99.6
220,4/23/19 23:15,11.51,9.4,11.51,99.6
221,4/23/19 23:25,11.51,9.4,11.51,99.6
222,4/23/19 23:35,11.53,9.38,11.53,99.7
223,4/23/19 23:45,11.52,9.36,11.52,99.6
224,4/23/19 23:55,11.53,9.36,11.53,99.7
225,4/24/19 0:05,11.52,9.36,11.52,99.6
226,4/24/19 0:15,11.53,9.36,11.53,99.7
227,4/24/19 0:25,11.53,9.34,11.53,99.6
228,4/24/19 0:35,11.53,9.34,11.53,99.6
229,4/24/19 0:45,11.54,9.34,11.54,99.7
